Distance: 524.500000, Angle: 222.734375 --- diff is -3.640625
Distance: 522.000000, Angle: 224.109375 --- diff is 1.375000
Distance: 525.000000, Angle: 225.593750 --- diff is 1.484375
Distance: 532.250000, Angle: 227.093750 --- diff is 1.500000
Distance: 0.000000, Angle: 233.734375 --- diff is 6.640625
Distance: 0.000000, Angle: 235.187500 --- diff is 1.453125
Distance: 0.000000, Angle: 236.656250 --- diff is 1.468750
Distance: 0.000000, Angle: 238.125000 --- diff is 1.468750
Distance: 0.000000, Angle: 239.609375 --- diff is 1.484375
Distance: 0.000000, Angle: 241.078125 --- diff is 1.468750
Distance: 0.000000, Angle: 242.546875 --- diff is 1.468750
Distance: 0.000000, Angle: 244.015625 --- diff is 1.468750
Distance: 0.000000, Angle: 245.500000 --- diff is 1.484375
Distance: 0.000000, Angle: 246.953125 --- diff is 1.453125
Distance: 193.500000, Angle: 248.062500 --- diff is 1.109375
Distance: 0.000000, Angle: 249.906250 --- diff is 1.843750
Distance: 0.000000, Angle: 251.375000 --- diff is 1.468750
Distance: 0.000000, Angle: 252.859375 --- diff is 1.484375
Distance: 0.000000, Angle: 254.312500 --- diff is 1.453125
Distance: 0.000000, Angle: 255.796875 --- diff is 1.484375
Distance: 0.000000, Angle: 257.265625 --- diff is 1.468750
Distance: 0.000000, Angle: 258.734375 --- diff is 1.468750
Distance: 0.000000, Angle: 260.203125 --- diff is 1.468750
Distance: 0.000000, Angle: 261.671875 --- diff is 1.468750
Distance: 0.000000, Angle: 263.140625 --- diff is 1.468750
Distance: 0.000000, Angle: 264.609375 --- diff is 1.468750
Distance: 0.000000, Angle: 266.078125 --- diff is 1.468750
Distance: 0.000000, Angle: 267.562500 --- diff is 1.484375
Distance: 0.000000, Angle: 269.031250 --- diff is 1.468750
Distance: 388.500000, Angle: 266.234375 --- diff is -2.796875
Distance: 402.750000, Angle: 267.625000 --- diff is 1.390625
Distance: 421.500000, Angle: 268.718750 --- diff is 1.093750
Distance: 0.000000, Angle: 274.906250 --- diff is 6.187500
Distance: 0.000000, Angle: 276.375000 --- diff is 1.468750
Distance: 0.000000, Angle: 277.843750 --- diff is 1.468750
Distance: 2354.000000, Angle: 271.953125 --- diff is -5.890625
Distance: 2331.500000, Angle: 273.390625 --- diff is 1.437500
Distance: 2310.250000, Angle: 274.921875 --- diff is 1.531250
Distance: 2295.000000, Angle: 276.390625 --- diff is 1.468750
Distance: 653.250000, Angle: 279.375000 --- diff is 2.984375
